,symbol,metric,value
0,MMM,Previous Close,134.33
1,MMM,Open,134.41
2,MMM,Bid,132.67 x 900
3,MMM,Ask,132.68 x 900
4,MMM,Day's Range,132.29 - 134.67
5,MMM,52 Week Range,128.19 - 203.21
6,MMM,Volume,"2,358,401"
7,MMM,Avg. Volume,"2,892,401"
8,MMM,Market Cap,75.571B
9,MMM,Beta (5Y Monthly),0.92
10,MMM,PE Ratio (TTM),13.82
11,MMM,EPS (TTM),9.61
12,MMM,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
13,MMM,Forward Dividend & Yield,5.96 (4.58%)
14,MMM,Ex-Dividend Date,19-May-22
15,MMM,1y Target Est,154.12
16,AOS,Previous Close,55.82
17,AOS,Open,56.04
18,AOS,Bid,54.05 x 800
19,AOS,Ask,56.23 x 1000
20,AOS,Day's Range,55.25 - 56.19
21,AOS,52 Week Range,51.91 - 86.74
22,AOS,Volume,"723,479"
23,AOS,Avg. Volume,"1,127,343"
24,AOS,Market Cap,8.713B
25,AOS,Beta (5Y Monthly),1.15
26,AOS,PE Ratio (TTM),17.55
27,AOS,EPS (TTM),3.18
28,AOS,Earnings Date,"Jul 27, 2022 - Aug 01, 2022"
29,AOS,Forward Dividend & Yield,1.12 (2.11%)
30,AOS,Ex-Dividend Date,28-Apr-22
31,AOS,1y Target Est,68.33
32,ABT,Previous Close,109.45
33,ABT,Open,109.9
34,ABT,Bid,108.85 x 900
35,ABT,Ask,109.08 x 1200
36,ABT,Day's Range,108.30 - 110.05
37,ABT,52 Week Range,101.24 - 142.60
38,ABT,Volume,"3,258,497"
39,ABT,Avg. Volume,"5,511,564"
40,ABT,Market Cap,190.993B
41,ABT,Beta (5Y Monthly),0.72
42,ABT,PE Ratio (TTM),25.32
43,ABT,EPS (TTM),4.31
44,ABT,Earnings Date,"Jul 20, 2022 - Jul 25, 2022"
45,ABT,Forward Dividend & Yield,1.88 (1.83%)
46,ABT,Ex-Dividend Date,14-Jul-22
47,ABT,1y Target Est,139.29
48,ABBV,Previous Close,152.34
49,ABBV,Open,153
50,ABBV,Bid,152.51 x 1000
51,ABBV,Ask,153.30 x 1000
52,ABBV,Day's Range,152.75 - 155.45
53,ABBV,52 Week Range,105.56 - 175.91
54,ABBV,Volume,"5,268,383"
55,ABBV,Avg. Volume,"7,338,458"
56,ABBV,Market Cap,270.615B
57,ABBV,Beta (5Y Monthly),0.81
58,ABBV,PE Ratio (TTM),21.97
59,ABBV,EPS (TTM),6.97
60,ABBV,Earnings Date,"Jul 28, 2022 - Aug 01, 2022"
61,ABBV,Forward Dividend & Yield,5.64 (4.08%)
62,ABBV,Ex-Dividend Date,14-Apr-22
63,ABBV,1y Target Est,163.01
64,ABMD,Previous Close,255.32
65,ABMD,Open,254.02
66,ABMD,Bid,255.09 x 800
67,ABMD,Ask,255.68 x 800
68,ABMD,Day's Range,249.60 - 256.61
69,ABMD,52 Week Range,219.85 - 379.30
70,ABMD,Volume,"265,810"
71,ABMD,Avg. Volume,"314,267"
72,ABMD,Market Cap,11.609B
73,ABMD,Beta (5Y Monthly),1.35
74,ABMD,PE Ratio (TTM),85.5
75,ABMD,EPS (TTM),2.98
76,ABMD,Earnings Date,"Aug 03, 2022 - Aug 08, 2022"
77,ABMD,Forward Dividend & Yield,N/A (N/A)
78,ABMD,Ex-Dividend Date,N/A
79,ABMD,1y Target Est,352
80,ACN,Previous Close,299.37
81,ACN,Open,298.94
82,ACN,Bid,292.88 x 800
83,ACN,Ask,292.97 x 800
84,ACN,Day's Range,291.65 - 300.99
85,ACN,52 Week Range,268.17 - 417.37
86,ACN,Volume,"2,066,102"
87,ACN,Avg. Volume,"2,369,627"
88,ACN,Market Cap,185.494B
89,ACN,Beta (5Y Monthly),1.24
90,ACN,PE Ratio (TTM),29.49
91,ACN,EPS (TTM),9.92
92,ACN,Earnings Date,22-Sep-22
93,ACN,Forward Dividend & Yield,3.88 (1.37%)
94,ACN,Ex-Dividend Date,13-Apr-22
95,ACN,1y Target Est,N/A
96,ATVI,Previous Close,77.94
97,ATVI,Open,77.63
98,ATVI,Bid,77.67 x 1100
99,ATVI,Ask,78.11 x 1300
100,ATVI,Day's Range,77.34 - 78.31
101,ATVI,52 Week Range,56.40 - 96.15
102,ATVI,Volume,"5,826,678"
103,ATVI,Avg. Volume,"5,644,000"
104,ATVI,Market Cap,60.995B
105,ATVI,Beta (5Y Monthly),0.55
106,ATVI,PE Ratio (TTM),24.77
107,ATVI,EPS (TTM),3.15
108,ATVI,Earnings Date,"Aug 01, 2022 - Aug 05, 2022"
109,ATVI,Forward Dividend & Yield,0.47 (0.63%)
110,ATVI,Ex-Dividend Date,13-Apr-22
111,ATVI,1y Target Est,94.22
112,ADM,Previous Close,74.52
113,ADM,Open,75.05
114,ADM,Bid,75.94 x 1100
115,ADM,Ask,76.02 x 1200
116,ADM,Day's Range,74.61 - 76.57
117,ADM,52 Week Range,56.91 - 98.88
118,ADM,Volume,"3,561,313"
119,ADM,Avg. Volume,"4,064,191"
120,ADM,Market Cap,42.788B
121,ADM,Beta (5Y Monthly),0.76
122,ADM,PE Ratio (TTM),14
123,ADM,EPS (TTM),5.43
124,ADM,Earnings Date,"Jul 25, 2022 - Jul 29, 2022"
125,ADM,Forward Dividend & Yield,1.60 (2.02%)
126,ADM,Ex-Dividend Date,17-May-22
127,ADM,1y Target Est,97.83
128,ADBE,Previous Close,387.72
129,ADBE,Open,388.8
130,ADBE,Bid,381.49 x 1800
131,ADBE,Ask,381.65 x 800
132,ADBE,Day's Range,379.38 - 389.30
133,ADBE,52 Week Range,338.00 - 699.54
134,ADBE,Volume,"2,180,040"
135,ADBE,Avg. Volume,"3,331,948"
136,ADBE,Market Cap,180.056B
137,ADBE,Beta (5Y Monthly),1.08
138,ADBE,PE Ratio (TTM),37.21
139,ADBE,EPS (TTM),10.24
140,ADBE,Earnings Date,15-Sep-22
141,ADBE,Forward Dividend & Yield,N/A (N/A)
142,ADBE,Ex-Dividend Date,24-Mar-05
143,ADBE,1y Target Est,466.24
144,ADP,Previous Close,218.79
145,ADP,Open,218.27
146,ADP,Bid,218.28 x 800
147,ADP,Ask,218.27 x 800
148,ADP,Day's Range,215.98 - 220.50
149,ADP,52 Week Range,192.26 - 248.96
150,ADP,Volume,"1,617,640"
151,ADP,Avg. Volume,"1,883,804"
152,ADP,Market Cap,91.198B
153,ADP,Beta (5Y Monthly),0.83
154,ADP,PE Ratio (TTM),32.2
155,ADP,EPS (TTM),6.78
156,ADP,Earnings Date,27-Jul-22
157,ADP,Forward Dividend & Yield,4.16 (1.90%)
